,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,街路番号
0,-2.264476,-2.415552,2.26685,-2.622883,3.473585,-2.802254,1.295868,-1.197563,1
1,-2.048069,-2.594053,1.382472,-2.037092,0.661175,-0.290148,1.01477,-1.438979,2
2,5.997937,-2.01168,3.406494,-1.22149,0.465131,-0.171828,0.587595,0.590561,5
3,3.21664,-3.867149,4.429304,1.037836,3.472284,-2.990745,0.895672,0.491849,6
4,-4.59159,-2.30891,0.457507,-1.115538,-0.644025,0.059044,-2.060758,-0.544212,8
5,-4.09651,-3.251759,-0.726933,-0.596543,-0.266703,2.524986,-0.580086,-1.037031,9
6,-1.152256,-2.45536,1.520594,-2.353002,-1.25214,2.365769,-0.964189,0.096643,11
7,-3.119725,-2.327968,0.907571,-1.216181,-0.142843,1.365159,-0.11786,-1.065745,13
8,-0.925227,-3.057193,0.436317,4.475267,1.227421,2.154078,0.380337,-0.750978,14
9,-0.588093,-0.063617,-2.298156,0.068803,-1.440361,-0.144438,3.610311,1.150659,16
10,3.978663,-2.356785,-3.965292,8.097996,0.675281,-0.233854,-0.740484,-2.020468,18
11,-0.667547,-1.937508,-1.730286,0.64026,-1.166578,0.171024,2.213942,1.941241,19
12,5.814271,-2.93386,-3.512556,-1.015045,-1.046424,-2.237414,-2.900169,0.178927,21
13,0.763726,-1.494811,-2.44096,0.189981,-0.734323,-1.18404,3.241437,3.248135,23
14,-3.989333,-1.987623,-0.326969,0.479995,-2.602187,-0.719387,-0.731147,-1.00194,24
15,11.957774,-0.792624,-3.313659,-5.038625,-1.065557,1.298184,-1.424732,-0.52491,26
16,-0.895771,1.515658,0.581168,1.126074,-1.211519,-1.288411,0.305679,-0.296538,28
17,0.196538,3.599764,-0.513534,-0.227798,1.153681,-0.6571,0.25086,-3.226185,29
18,3.822752,5.513926,3.720047,0.915929,-0.601661,-1.127712,-1.250826,-0.539618,31
19,-0.408101,2.83717,0.50417,0.740857,-0.993486,0.935323,0.002084,1.698648,33
20,-2.310548,1.878343,1.460292,0.117921,-4.157185,-0.185885,0.0241,-0.331977,34
21,-5.282951,0.238394,0.692166,-0.459436,-1.292303,-0.572243,-3.085572,-0.005487,35
22,2.480926,0.689337,3.93363,1.593251,0.442871,3.967918,-1.156748,4.427856,36
23,-0.043907,3.18019,0.637545,2.780752,0.714272,0.178878,-1.657637,0.165476,37
24,-0.18292,3.382989,-1.78764,-1.691499,2.186646,4.701081,2.876003,-2.64406,38
25,-2.430941,2.690279,-0.718735,-0.495474,-3.469513,-2.987588,1.458874,0.218349,39
26,-4.404636,2.462181,-4.216952,-1.417252,3.632409,-0.584702,-1.50438,2.203332,40
27,4.14422,4.330494,1.714572,0.278346,-0.276908,-0.478178,1.370565,-1.536203,41
28,-2.970843,3.537727,-2.499024,-1.035408,4.258962,-1.065515,-1.353509,1.750218,43
